Location_Number,Site_Number,LOCATION,Road_Num,ROADNAME,ROADTYPE,ROADCLASS,LHA_Name,LHA_Type,District,County,LHA Name,GOR,UrbanRural,CP Number,OSGRX,OSGRY,Direction_of_Lane_1,StreetMap,GoogleMap,SitePhoto,STARTDATE_Operational_Date,Dead_from,Decommissioned,Active,Valid_From,Valid_To,Temp_Valid_From,Temp_Valid_To,SIM_Card_Number,Supplier,Fixed_IP,BT_Number,ClassTable,Last_Class_Table_Upload_Date,Uploaded_by,Contact_Period,Power_Source,CLASSIFIER,Start_Classifier,Serial_no_of_unit,Asset_Num,AssetValue,Test_Site,WIM_Site,Cycle_Sensors,One_or_two_dirs,Cycle_Site,SPEEDSITE,Include_in_Publication,SpeedLimitMPH,Last RSI speed limit MPH,Traffic Calming,Traffic Calming measures,Speed_Comments,Date_RSI_Checked,RSI_Date,RSI_CheckedBy,RSI_observations ,General_Comments,Published_if_active,Procurement_site,London_National,Country,RSI_month_1,RSI_month_2,Last_DfT_contact,LAT,LONG,EMU-3_unit,Date_unit_changed_to_EMU-3,Initial STRATA,STRATA_GF,STRATA_EF,H&S concerns,Conversion,Tranches,Tranches_Valid_from
320,320,Chelsfield Lane,Unclassified,Chelsfield Lane,Minor,U,Bromley,London Borough,Bromley London Boro,LONDON,,London,,900100,547779,166449,E,Map of 320,Map of 320,Photo of 320,43354,,NO,Yes,43357,,,,07920362263,Vodafone (CCUK),N,No,EMU-3 Hopper,43354,Q-Free,00-23,6V Battery - Solar,EMU-3,EMU-3,51303,,,No,No,Yes,Two,,,N,,30mph,,,,,,,,Class table uploaded by TDC due to comms issues at DfT (11/09/18),,,National,London,June,December,,51.377865,0.121975,Yes,,S_14,GF_08,EF_10,,,,
321,321,Crockenhill Road,B258,Crockenhill Roaf,Minor,B,Bromley,London Borough,Bromley London Boro,LONDON,,London,,990142,547731,167800,N,Map of 321,Map of 321,Photo of 321,43362,,NO,Yes,43376,,,,07554222040,Vodafone (CCUK),N,No,EMU-3 Hopper,43362,Q-Free,00-23,6V Battery - Solar,EMU-3,EMU-3,51300,,,No,No,Yes,Two,,,N,,30mph,,,,,,,,Class table uploaded by TDC due to comms issues at DfT (19/09/18),,,National,London,June,December,,51.390017,0.121847,Yes,,S_13,GF_07,EF_10,,,,
322,322,Mead Way,Unclassified,Mead Way,Minor,U,Bromley,London Borough,Bromley London Boro,LONDON,,London,,900103,540043,167386,W,Map of 322,Map of 322,Photo of 322,43357,,NO,Yes,43357,,,,07785452251,Vodafone (CCUK),N,No,EMU-3 Hopper,43721,Q-Free,00-23,6V Battery - Solar,EMU-3,EMU-3,51620,,,No,No,Yes,Two,,,N,,30mph,,,,,,,,Class table uploaded by TDC due to comms issues at DfT (13/09/18),,,National,London,June,December,,51.388245,0.011265,Yes,,S_14,GF_08,EF_10,,,,
335,335,"Windmill Lane, Ealing",B454,B454,Minor,B,Ealing,London Borough,Ealing London Borough,LONDON,Ealing,London,,942595,515042,178956,E,Map of 335,Map of 335,Photo of 335,43796,,NO,Yes,43797,,,,07711715572,Vodafone (CS Calloff Contract),N,No,EMU-3 Hopper,43796,Q-Free,00.00 to 01.00 and 08.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,52217,,,No,No,No,N/A,,,,30,30mph,,,,,,,,,,,National,England,March,September,,51.4979927,-0.344150909,Yes,,S_13,GF_07   ,EF_10,,,,
337,337,"Corbets Tey Road, Havering",B1421,B1421,Minor,B,Havering,London Borough,Havering London Boro,LONDON,Havering,London,,942420,555956,185340,S,Map of 337,Map of 337,Photo of 337,43837,,NO,Yes,43838,,,,07918293683,Vodafone (CS Calloff Contract),N,No,EMU-3 Hopper,43837,Q-Free,00.00 to 01.00 and 08.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,52486,,,No,No,No,N/A,,,,30,30mph,,,,,,,,,,,National,England,March,September,,51.54540971,0.247725737,Yes,,S_13,GF_07   ,EF_10,,,,
343,343,"Northfields Avenue, Ealing",B452,Northfields Avenue,Minor,B,Ealing,London Borough,Ealing London Borough,LONDON,Ealing,London,,942600,516710,179923,N,Map of 343,Map of 343,Photo of 343,43952,,NO,Yes,43953,,,,07918293671,Vodafone (CS Calloff Contract),N,No,EMU-3 Hopper,43952,Q-Free,00.00 to 01.00 and 08.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,52493,,,No,No,Yes,Two,,,,30,30mph,,,,,,,,,,,National,England,March,September,,51.50619748,-0.319745888,Yes,,S_13,GF_07   ,EF_10,,,,
352,352,"B154 Church Street, Enfield",B154,Church Street,Minor,B,Enfield,London Borough,Enfield London Boro,LONDON,Enfield,London,,942340,533901,193739,E,Map of 352,Map of 352,Photo of 352,43882,,NO,Yes,43885,,,,07586495447,Vodafone (CS Calloff Contract),N,No,EMU-3 Hopper,43885,Q-Free,00.00 to 01.00 and 08.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,52490,,,No,No,Yes,Two,,,,,20mph,,,,,,,,,,,National,England,March,September,,51.62654514,-0.066927786,Yes,,S_13,GF_07   ,EF_10,,,,
353,353,"Garnet Street, Tower Hamlets",C,"Garnet Street, Tower Hamlets",Minor,C,Tower Hamlets,London Borough,Tower Hamlets London Boro,LONDON,Tower Hamlets,London,,951759,535077,180625,N,Map of 353,Map of 353,Photo of 353,43895,,NO,Yes,43900,,,,07788961191,Vodafone (CS Calloff Contract),N,No,EMU-3 Hopper,43895,Q-Free,00.00 to 01.00 and 08.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,52501,,,No,No,Yes,Two,,,,,30mph,,,,,,,,,,,National,England,March,September,,51.50841891,-0.054983505,Yes,,S_14,GF_08  ,EF_10,,,,
357,357,"B210 Charlton Park Road, Greenwich",B210,Charlton Park Road,Minor,B,Greenwich,London Borough,Greenwich London Boro,LONDON,Greenwich,London,,942358,541902,177876,,Map of 357,Map of 357,Photo of 357,44034,,NO,Yes,44035,,,,07788960586,Vodafone (CS Calloff Contract),N,No,EMU-3 Hopper,44034,Q-Free,,6V Battery - Solar,EMU-3,EMU-3,52492,,,No,No,No,N/A,,,,,30mph,,,,,,,,,,,National,England,March,September,,51.482045,0.042164,Yes,,S_13,GF_07   ,EF_10,,,,
360,360,"B465 West Drayton Road, Hillingdon",B465,West Drayton Road,Minor,B,Hillingdon,London Borough,Hillingdon London Boro,LONDON,Hillingdon,London,,942664,507523,181238,S,Map of 360,Map of 360,Photo of 360,43923,,NO,Yes,43924,,,,07788960872,Vodafone (CS Calloff Contract),N,No,EMU-3 Hopper,43923,Q-Free,00.00 to 01.00 and 08.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,52506,,,No,No,No,N/A,,,,,30mph,,,,,,,,,,,National,England,March,September,,51.51983831,-0.451664546,Yes,,S_13,GF_07   ,EF_10,,,,
